index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
198,1565,104,5,8.3238997190187,6.30720582786936,7.16883192876782,0.744900126553519,201.991553653876,-4.69844112332491,16.5627625,87.0126332311831
199,1573,112,5,14.2737907146104,12.8339418157372,6.94839203753647,0.461154361849418,164.404024667277,-4.61630740936846,16.5627625,53.8047106193337
200,1581,120,5,16.8338532516827,14.5247587289213,9.86220171604373,0.54320758742918,127.473565392329,-4.61630739307652,16.5627625,92.0953436325228
201,1589,128,5,28.0026009483719,24.6657339741383,15.0504182613495,0.50375074176118,90.5431062477167,-4.17933368786342,16.5627625,83.9789982195266
202,1597,136,5,26.9668175382168,23.0317608495293,16.4231658619829,0.561663529645782,57.1084367448093,-1.1205177590665,16.5627625,163.097838575556
203,1605,144,5,21.5748062885884,20.1390928211403,8.29051065497053,0.371115657923738,48.1442946722773,-1.12051777292251,16.5627625,151.397134051941
204,1613,152,5,16.8253880667438,14.332733625462,10.3455297233097,0.566291363322637,39.1801524888973,-1.12051776842525,16.5627625,133.88705434733
205,1621,160,5,21.9511302903792,20.220032850324,9.27563343934596,0.405326519799138,30.2160103414953,-0.912880016174168,16.5627625,155.879889070069
206,1629,168,5,22.2509194956638,20.5690765118117,9.18013787681872,0.396470744579608,22.912970212102,-0.289966758372669,16.5627625,77.6632221726312
207,1637,176,5,24.6085450115552,22.7698497442848,10.0872044213928,0.394097601130721,20.5932361451206,-0.289966762005871,16.5627625,126.694562595903
208,1645,184,5,31.3915047513447,28.5968764530824,14.2131105003709,0.431832861312503,18.2735020490736,-0.289966757372026,16.5627625,91.2494659146632
209,1653,192,5,30.5825526990494,28.3320578457345,12.4292845467378,0.390987783733843,15.9537679900974,-0.149467640765428,16.5627625,105.759692609412
